No.,Q1,Q2
1,The most interesting part I learned today was MCAR/MAR/MNAR. Its concept in broadly missing values chapter. Its base three concepts were a crucial part of my understanding. I had performed a public analysis at several layers of the platform and steps clearly from the start throughout the research process.,"Following online resources/libraries in the web panel. When I research the use of libraries, I need patience and author expertise. Finally it was the best practice to get it right."
2,"The variance method to reduce the dimension of data was interesting. I'm not used to nonlinear reduction methods, but there are still some to try to minimize the difference with minimum variables. I had to study these mathematically.","It requires more attention when the data has many null or abnormal values. AI agent may create fictitious values for null values, which leads to hallucination. Thus, we need to put more restrictions when prompting. Also even for null or anomalies, we always need to check if the agent made relevant or inappropriate data."
3,"Dimensionality reduction. Because I took the course about regression and multidimensional data, so I'm familiar with dimensionality reduction using linear method but unfamiliar with using non-linear method. Through today's class I learned about dimensionality reduction. In reason it is the most interesting thing.","In my experience AI agent didn't understand correctly about data types and formats, so AI agent was wrong about data preprocessing. Thus we should know the intermediary about data before using AI. The agent would be cautious about its worth if AI shows proper result."
4,"Learned about KL divergence, visualization, similarity measures. Found it interesting how different visualization methods can reveal patterns in data. Discussed AI agent capabilities for data analysis.",Need to be careful when using AI agents for data processing. The agent might misunderstand the context of the data. Need to verify the results carefully and understand the limitations of the tools.
5,"Learned about MCAR, MAR, MNAR concepts and how they affect data analysis. Found it interesting that different types of missing data require different handling approaches.","When using AI agents for data preprocessing, need to be careful about how the agent handles missing values and outliers. The agent might not understand the domain context properly."
6,The preprocessing step was the most interesting thing I learned. I love how it tells a story about how data was collected and uncovering patterns. That is more like detective work than data processing. This is why the preprocessing was the most interesting thing during the class.,We always have to be careful when we use AI agent for data understanding and preprocessing because of hallucination and its inability to fully comprehend the data context. Need extra attention when using AI for data preprocessing.
7,Found visualization and independence analysis interesting. Learned about how to use different plots and charts to understand data distributions and relationships between variables.,"When using AI, need to verify the outputs. The AI might generate plausible but incorrect visualizations or analyses. Need to understand the data before asking AI to process it."
8,"The most interesting thing is PCA. I found PCA moves the dimensionality, and it can be done by general case and unprincipled capturing of the data. It also expands to visualize at a specific format. It was interesting.",I would say when there are many null values and the data has a lot of noise. These recommendations may not be accurate since the AI may suggest things that don't make sense for the specific context.
9,"Sources of potential problems: Errors and noise, Incompleteness, segments, missing entity, duplicate, fictitious, conflicto. Lack of semantics, unlabeled, bad quality, data integration and attributes. When we look at data paths, our integration and environment is the data source.","I care about an AI agent for data understanding and preprocessing for the purpose of making and preparing data models. Many misinterpret data common errors or in noise data. Flavoring in conversational-models, a biased data can lead to inconsistent results."
10,Learned about different data types and preprocessing methods. Found it interesting how different visualization techniques can help understand data better.,Need to be careful about data quality when using AI. The AI might not detect subtle errors in the data that a human expert would catch.
11,"Learned about LLM and how AI processes data. Found it interesting that AI can assist in data visualization and analysis, but it requires proper understanding of the underlying data.","When using AI, the preprocessing step is crucial. Need to ensure data quality before feeding to AI. The output quality depends on input data quality."
12,Data preprocessing and visualization were the most interesting topics. Understanding how to clean and prepare data is fundamental for any analysis.,"When using AI for data tasks, need to verify the preprocessing steps. AI might apply inappropriate transformations that could distort the analysis results."
13,"Data cleaning is the most interesting part because it's the step that requires judgment, not just technique. You have to decide why the data is messy before you can fix it. Every dirty dataset tells a story about how it was collected and uncovering that is more like detective work than data processing.","Data leakage: agents can accidentally use future information to preprocess past data, which silently inflates model performance. Label encoding decisions, when encoding categorical variables, an agent might impose an arbitrary ordinal ranking where none should exist, introducing false structure."
14,"What I found interesting is that the importance of data can be measured by different aspects. For example, effects like missing values, duplicated types like noise, sampling approaches - all of these are different measures that represent different dimensions of the data quality.","Data can be stored in very different types. It can also have extreme values. AI agents could be used for this, but the results may vary. Some data types may be recorded and treated differently by different tools. Ensure data consistency."
15,"Today I learned that I learned today is that we can extract data in different subjects, but some data can be complex for a short description. The data is related with so many concepts. We need to check if the data meets requirements after preprocessing.","Data objective is that AI agent and data understanding means data preprocessing and integration, which requires more investigation. Also data handling for understanding may not always be straightforward. It requires domain knowledge."
16,Learned about data types and how different representations of data affect analysis. Found it interesting that preprocessing choices can significantly impact results.,"AI agents need to understand the context of the data. Without proper context, the preprocessing steps might be wrong or misleading."
17,I think the most interesting thing is visualization. It was interesting and it helps us to understand data better. There are various types of visualization tools that we can use to analyze data.,I think the data pre-processing step should be treated with more attention. There are some cases when the models can be biased or have wrong results if we miss cleaning step.
18,"Before this, I only learned the importance behind it, and its preprocessing. But very I thought it was more like a routine I had to do. But I was surprised that there was a lot of method to it. I learn more about MCAR, and MNAR and if there was a pattern to it. I found it very interesting, I learnt today.","Extra attention when using AI agents: I think we have to pay agents to make decisions. Use data understanding the data first, then fill in data with the data understanding. Needs management while AI agents, we also need to pay attention to the data's privacy and fix it to be looked."
19,Learned about different methods of handling missing data. The concept of using statistical methods to handle missing values was the most interesting part of today's lecture.,"When using AI agents, need to pay attention to the data format and structure. AI might not handle certain data types correctly without proper preprocessing."
20,The most interesting thing is about data preprocessing. It's important to understand why data cleaning and preprocessing matter before analysis. The concept of data quality dimensions was enlightening.,"When using AI for data tasks, need to understand the limitations. AI agents may not always correctly identify outliers or handle missing values appropriately without human guidance."
21,"What I found most interesting today was that the different concepts of data can be measured. The different dimensions like completeness, accuracy, for instance, like man and woman, king and queen, make the same distance with each other. I never thought of it that way because I never thought of it.",Maybe when we have special or uncommon data. How could this change the result significantly from approaches with caution.
22,I found it was a very kind helpful process and I've learned various topics in today's lecture. The most useful was data preprocessing. It helped me organize and I want to better understand the subject of AI and data science. It also made me understand more about data.,"In detail, I found some interesting things. It also provides help in an example to use a model for each analysis. It would probably be related to learning topics and be changed to get results. I think it was more interesting in all aspects."
23,"I think the most interesting thing that I learned today is that easy type of data and for different approaches, reasons and the data before. I saw familiar concepts like before, with the update and transformation of data types in today's class and I think it is very useful for studying.","I think it is very important to check data cleaning, and maybe the AI agent might generate wrong data. Some data that are recently created might be wrong in data processing, tables and data might turn out to be different."
24,"I got to know about how to handle with data, there is so much. Categories and a lot of examples to understand. Even more, I would learn more from it. Knowledge is consuming. It in my area, it is good to know in short time. It will need to learn to have that ability.",A guess that what we're collecting makes the data sources one type. To look information to internet. Therefore its important to know the sources. We should be and data should be discriminate and according to be interesting.
25,"The most interesting thing that I learned today is about data preprocessing and why it is important step for the next data analyzing. It requires knowledge and techniques. I think it is well interesting because it seems like it takes a lot of practice to do well in this step. The concepts such as data cleaning dealing with missing data, visualizations are crucial knowledge.","One of the cases where I might need extra attention when using an AI agent for data understanding and preprocessing is the purpose of analysis task. In my opinion, the subject of analysis is important. For example, a doctor might wish to find outlier in patient's medical report to detect any health problem. At the same time, hospital/government might wish to find the average health conditions."
26,"About how the molecular and the reduction, the most interesting thing I learned was about independent analysis concepts. Found it interesting about how the overall concepts work.","AI agents can have errors and when we handle data, there might be issues. Need to understand the context of data. The UMAC and other concepts were useful."
