No.,Q1,Q2
1,Example of outlier detection is there is someone login our account in another device that we not owned. A student answer quiz that has lot of question correctly in very small amount of time.,I think AI agent can identifies outliers just effectively as statistical or distance-based approaches because it is trained by this same method. The advantage it has is identifie which method is best for each case.
2,NULL,"A. I think AI Agents are better at written detection. As we learned today, defining a data as outlier is too much context-sensitive. Sometimes the data can be a noise point a unstable point on the century while we can investigate the outlier using statistical or distance based approaches they aren't aware of external contexts. For instance, what if the data regarding human height was abnormal externally such as all kept have around 10 meters of height? LLM has what external context easily detect, easily 'awareness gaps' while other approaches won't."
3,"1) finding someone that scores much higher than other student

using images of the same object to learn outlier detection to detect anomaly (maybe pipe?)
More effectively, even better than human.

reason 1: It can also see the data points as image input like human do, which can be faster with large no. of data points.

reason 2: Most distance-based algo require us to tune the parameter which can require humans intervention. The AI can do this by itself and improve when needed.   TYPO

자율주행차 detecting a pothole on the road and avoid it

To find the best restaurant in Anam!",NULL
4,NULL,"I think AI agent that identifies outliers more effectively? Maybe both are using similar formula or algorithm, or even the same one, but the computation ability of AI agent may be faster thus more effectively. Besides, AI agent may do classification better therefore provide various accurate versions."
5,NULL,"In my opinion, nowadays AI agents can work more effectively in detecting outliers in most of the general cases. If the prompts are given clearly by users the AI agents can work well, therefore computational cost and time are saved. But since it cannot guarantee the accuracy in real world cases we still need those statistical/distance-based approaches to improve in the process of outlier detection."
6,NULL,"It seems that AI could be used to identify new species based on their characteristics. For example, humans are classified as having two legs and two arms, but it would be difficult to classify a newly discovered alien species using that existing framework. In such a case, if we show the AI a photo of the alien and define it as having six legs and four arms, the AI could use that data to determine that it is a new species. This would allow for more effective species classification and the ability to handle new data, such as that of an alien species."
7,"healthcare/diagnosis - abnormal heartrate, blood pressure or lab results can be outliers

Online shopping - a user suddenly placing hundreds of orders in minutes could be also

","AI agent can be more effective but not always
AI agent
+
• can understand context, patterns
• better for high dimensional data
• can combine multiple goals

statistical
+
• more transparent, explainable
• easier to implement
• works well when outliers are clearly far from the mean or cluster

In many real systems combining both [crossed out] approaches gives the best results."
8,"Real world examples of outlier detections.
- Network Intrusion Detection
  → A user suddenly accesses 100,000 request (DDOS) per sec
  → record from a single IP (cybersecurity)
- Collective outliers (Normal individually, abnormal as pattern over time)
- Fake news
  → Article mixes with unrelated claims
  → Contextual outlier (the sentence is odd given the situation).","it depends heavily on what data type and task. One common example is, AI → 2200 shot defection ⇒ Can flag anomalies on aero training data on what 'normal' looks like. Methods → No hallucination risk ⇒ AI can confidently identify something as outlier even often it's not. Statistical/proximity methods don't have this.Apart from that, the computational cost for these methods are commonly higher than using AI, since AI used already a pretrained model or they can apply various method (knowledge distillation/transfer learning)."
9,NULL,"In my opinion if the data is a numerical data it is better to use the statistical distance based approaches but if it is for surveillance or image outlier it is better to use AI agent. This is because there are a lot of AI models that has already pre-trained for image detection and there AI agent actually make use of distance based approach to get the loss while detecting the image. Thus, it depends on what data are we searching outliers from and the effectiveness can defer."
10,NULL,"In my opinion, I think AI agent can be more effective in detecting outliers than traditional method if the dataset is complex and heavy. Statistical or distance-based approaches may be best in computation if the data is small, but may not be as effective as AI agent in detecting outliers.
Many real world examples involves high-dimensional data that relate so many categories and label within a single data.
This may cause outliers to be more complex, which AI agent is more capable of. In addition, AI agent can also learn. They can learn what is ""normal,"" and act for the given dataset, to produce a more accurate outliers detection compared to traditional approaches. The drawbacks may be computation costs and training data."
11,"Real world examples of outlier detection include fraud detection in banking transactions, identifying defective products in manufacturing, and detecting abnormal patient data in healthcare. ","AI agents and detecting complex, nonlinear patterns and context, making them often more effective than traditional statistical or distance-based methods in high-dimensional data. However, statistical approaches remain more interpretable and reliable in simpler settings with clear assumptions."
12,"Outlier detection appears in cybersecurity, e-commerce and sensor networks. ","AI agent can adapt over time and detect subtle anomalies, but they may overfit or produce false positives if data quality is poor. Distance-based and statistical methods are simpler and faster, making them more robust for real-time or small-scale applications."
